,Nama Hotel,Nama Kota,Provinsi,Latitude,Longitude,Luas Kamar,Kapasitas,Rating,Harga
204,Sukajadi Hotel,Kota Bandung,Jawa Barat,-6.89,107.5970387,23,2,4.08,398250
205,Panen Hotel by Tebu Group,Kabupaten Bandung,Jawa Barat,-6.91,107.6247343,14,3,4.05,391875
206,Hotel Dafam Rio,Kota Bandung,Jawa Barat,-6.91,107.6290001,22,3,4.05,519998
207,Zest Hotel Sukajadi Bandung,Kota Bandung,Jawa Barat,-6.8952803,107.5974647,18,2,4.58,599999
208,Grand Mercure Bandung Setiabudi,Kota Bandung,Jawa Barat,-6.8548068,107.5947657,34,1,4.07,1423005
209,Fox HARRIS City Center Bandung,Kota Bandung,Jawa Barat,-6.9144659,107.6127927,36,2,4.02,970000
210,Promenade Hotel Cihampelas,Kabupaten Bandung Barat,Jawa Barat,-6.9295089,107.4886485,24,2,4.08,317938
211,Serela Merdeka by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.9065973,107.6089923,20,4,4.25,490387
212,Sutan Raja Hotel and Convention Centre,Kabupaten Bandung,Jawa Barat,-7.02,107.5472021,32,3,4.25,578500
213,The Salis Hotel,Kota Bandung,Jawa Barat,-6.8611311,107.5951736,18,2,4.08,250000
214,Grand Pasundan Convention Hotel,Kota Bandung,Jawa Barat,-6.9367174,107.593604,23,3,4.02,445500
215,Golden Flower by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.9206495,107.6047258,27,3,4.08,584640
216,Kalya Hotel Bandung,Kota Bandung,Jawa Barat,-6.885769,107.6124228,18,2,4.42,522500
217,Grand Aquila,Kota Bandung,Jawa Barat,-6.8949532,107.5896277,30,2,4.42,788988
218,IDEA's Hotel Jalan Ibrahim Adjie,Kota Bandung,Jawa Barat,-6.94,107.6417401,35,4,4.03,276000
219,Hotel California Bandung,Kota Bandung,Jawa Barat,-6.90387,107.6053251,27,3,4.75,688275
220,Hotel Guntur,Kota Bandung,Jawa Barat,-6.9139667,107.6042154,25,2,4.58,471870
221,Mutiara Hotel and Convention,Kota Bandung,Jawa Barat,-6.91,107.5987594,21,2,4.02,378000
222,Gandasari Hotel,Kota Bandung,Jawa Barat,-6.9080239,107.6129776,20,3,4.25,459000
223,DGYP 5 Ciater,Subang Regency,Jawa Barat,-6.7398681,107.6532326,16,2,3.12,1288500
224,Villa Sejuk 3 Bedroom Dekat Lembang by DF Property,Kabupaten Bandung Barat,Jawa Barat,-6.85,107.6119747,24,4,4.58,1000000
225,Dago Pakar Boutique Villa With Heated Pool,Kota Bandung,Jawa Barat,-6.875405,107.6170236,48,6,4.03,14000000
226,The Naripan Hotel by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.9196914,107.6118217,24,4,4,392364
227,Serela Waringin by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.9131887,107.5980631,15,4,4,369317
228,Hotel Vio Surapati,Kota Bandung,Jawa Barat,-6.9,107.6146113,13,3,4.03,446400
229,Mine Home Hotel Kebon Kawung,Kota Bandung,Jawa Barat,-6.9119737,107.6021674,16,2,4.08,400000
230,Dbest Express,Kota Bandung,Jawa Barat,-6.95,107.6086423,24,1,4.25,249975
231,Zodiak Kebon Kawung by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.91,107.5993836,18,3,4.42,359550
232,Omah Angkul Angkul Pool Villa,Kabupaten Bandung Barat,Jawa Barat,-6.7947958,107.5996385,33,4,4.03,2842875
233,Hotel Daily Inn Bandung,Bandung City,Jawa Barat,-6.9375914,107.6091286,21,1,4.02,378663
234,Belviu Hotel Bandung,Kota Bandung,Jawa Barat,-6.8828118,107.6003266,27,4,4.58,1071000
235,The Suite Metro Apartemen by DF Property,Kota Bandung,Jawa Barat,-6.939527,107.6595322,20,2,4.58,1500000
236,New Moonlight Hotel,Kota Bandung,Jawa Barat,-6.93,107.5964488,16,1,4.02,279000
237,The House Tour Hotel Downtown,Kota Bandung,Jawa Barat,-6.9,107.6210642,18,3,4.58,930000
238,Summer Hills Hotel & Villas Bandung,Kota Bandung,Jawa Barat,-6.87,107.5863565,45,4,4.02,900000
239,Lembang Asri Resort,Kabupaten Bandung Barat,Jawa Barat,-6.8214083,107.6055204,28,2,4.42,1200000
240,Gino Feruci Kebon Jati by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.9163529,107.5990744,30,3,4.58,492750
241,Gumilang Regency Hotel by Gumilang Hospitality,Kota Bandung,Jawa Barat,-6.85,107.5969789,35,3,4.03,481185
242,Villa de Rossa,Kabupaten Bandung Barat,Jawa Barat,-6.8148713,107.6229703,12,3,4.08,225000
243,DRIAM RIVERSIDE,Kabupaten Bandung,Jawa Barat,-7.0526425,107.499591,30,3,4.42,1007400
244,Amaris Hotel Cimanuk Bandung,Kota Bandung,Jawa Barat,-6.9,107.620746,16,2,4.03,500000
245,Ardan Hotel,Kota Bandung,Jawa Barat,-6.8932895,107.599168,21,3,4.58,569050
246,Yokotel Net,Bandung City,Jawa Barat,-6.9158063,107.592736,30,4,4.05,765000
247,Hotel Bumi Asih Gedung Sate Bandung,Kota Bandung,Jawa Barat,-6.9032993,107.6166768,15,3,4.03,612000
248,Lembah Sarimas Resort Hotel Ciater,Kabupaten Subang,Jawa Barat,-6.7267606,107.6556074,45,4,4.42,460000
249,Megans Gateway Apartment,Kota Cimahi,Jawa Barat,-6.8877114,107.5683907,42,7,4.42,1204819
250,Hotel Kumala Bandung,Kota Bandung,Jawa Barat,-6.9223636,107.6139362,35,3,4.03,609700
251,Villa Damar,Kota Bandung,Jawa Barat,-6.8818733,107.5985747,24,3,4.05,500000
252,Serela Riau by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.9062328,107.6199137,22,3,4,540000
253,Moritz Smart Bandung,Kota Bandung,Jawa Barat,-6.8885866,107.6032906,20,3,4.75,720020
254,Hotel Cemerlang,Kota Bandung,Jawa Barat,-6.9124593,107.5984302,22,4,4.03,527000
255,Cherry Homes Express Hotel,Kota Bandung,Jawa Barat,-6.8830087,107.5811667,20,3,4.42,305040
256,Tea Garden Resort,Kabupaten Subang,Jawa Barat,-6.713969,107.6411451,35,3,4.08,1232838
257,Ahadiat Hotel & Bungalow,Kota Bandung,Jawa Barat,-6.88,107.5883346,30,3,4.58,405900
258,Apartment The Suites @Metro By Prisma SA,Kota Bandung,Jawa Barat,-6.9384976,107.6581525,23,2,4.58,234649
259,Zodiak Asia Afrika by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.92,107.6048627,18,3,4,406125
260,Grand Pacific Hotel,Kota Bandung,Jawa Barat,-6.9087524,107.5979964,25,1,4.03,625000
261,PRIME PARK Hotel Bandung,Kota Bandung,Jawa Barat,-6.9,107.6415552,22,2,4.05,550000
262,Sany Rosa Hotel,Kota Bandung,Jawa Barat,-6.8826173,107.602946,24,3,4.42,486000
263,Apartment Tamansari Panoramic by Narel,Kota Bandung,Jawa Barat,-6.9364698,107.6846056,36,2,4.25,190000
264,Tibera Ciumbuleuit,Kota Bandung,Jawa Barat,-6.8641692,107.604702,24,3,4.58,375000
265,Dago Heuvel Resort and Villa,Kabupaten Bandung,Jawa Barat,-6.8599688,107.642993,27,2,4.03,565675
266,Vila Air Natural Resort,Kabupaten Bandung Barat,Jawa Barat,-6.8028641,107.5829828,30,8,4.08,2430000
267,Imah Seniman Resort,Kabupaten Bandung Barat,Jawa Barat,-6.8219729,107.6072671,20,2,4.02,690000
268,Hyper Inn,Kota Bandung,Jawa Barat,-6.9,107.597685,24,2,3.13,349425
269,The Lodge Maribaya,Kabupaten Bandung Barat,Jawa Barat,-6.824348,107.688572,17,2,4.03,1099800
270,Verona Palace Boutique Hotel Bandung,Kota Bandung,Jawa Barat,-6.8890994,107.5817215,26,4,4.42,550000
271,Dago Highland Resort,Kabupaten Bandung,Jawa Barat,-6.8617564,107.6355892,16,2,4,470000
272,Hotel 88 Alun-Alun,Kota Bandung,Jawa Barat,-6.9211936,107.6062303,14,2,4.25,400000
273,Tab Hotel Capsule Compact Bandung,Kota Bandung,Jawa Barat,-6.93,107.6028051,10,1,4.05,125400
274,Vio Veteran,Kota Bandung,Jawa Barat,-6.9193114,107.6149428,15,3,4.08,325500
275,Grand Serela Setiabudhi by KAGUM Hotels,Kota Bandung,Jawa Barat,-6.8810425,107.6012146,29,2,4,514935
276,Amaris Hotel Embong Malang,Kota Surabaya,Jawa Timur,-7.26,112.733322,18,3,4.03,350000
277,Bekizaar Hotel Surabaya,Kota Surabaya,Jawa Timur,-7.26,112.7413907,14,3,4.03,325023
278,Hotel Gunawangsa MERR,Kota Surabaya,Jawa Timur,-7.3136572,112.7754935,20,3,4.03,328000
279,Elmi Hotel,Kota Surabaya,Jawa Timur,-7.27,112.743181,24,3,4.58,377807
280,G Suites Hotel by AMITHYA,Kota Surabaya,Jawa Timur,-7.27,112.7474741,16,3,4.08,348000
281,Ascott Waterplace Surabaya,Kota Surabaya,Jawa Timur,-7.2970626,112.6693964,46,3,4.07,1412727
282,MaxOneHotels.com @ Tidar - Surabaya,Kota Surabaya,Jawa Timur,-7.2584623,112.7322047,19,2,4.05,329265
283,Hotel Aria Centra Surabaya,Surabaya City,Jawa Timur,-7.2668155,112.7445029,30,3,4.07,666000
284,Hotel 88 Embong Kenongo (Kayoon),Kota Surabaya,Jawa Timur,-7.2656039,112.7464719,16,3,4.42,241200
285,Swiss-Belinn Manyar Surabaya,Kota Surabaya,Jawa Timur,-7.2807565,112.7703696,38,19,4.05,1790000
286,Oakwood Hotel & Residence Surabaya,Kota Surabaya,Jawa Timur,-7.2800527,112.7814105,44,2,4.58,1120000
287,Holiday Inn Express SURABAYA CENTERPOINT,Kota Surabaya,Jawa Timur,-7.26,112.7306726,24,3,4.05,465002
288,Hotel Neo Gubeng - Surabaya by ASTON,Kota Surabaya,Jawa Timur,-7.27,112.7484254,16,1,4.42,331200
289,HARRIS Hotel & Conventions Bundaran Satelit Surabaya,Kota Surabaya,Jawa Timur,-7.2868036,112.7025013,24,3,4.07,798000
290,Shangri-La Surabaya,Kota Surabaya,Jawa Timur,-7.289725,112.7154685,35,3,4.58,1161600
291,POP! Hotel Gubeng,Kota Surabaya,Jawa Timur,-7.2726926,112.7495609,19,3,4.03,308750
292,Yello Hotel Jemursari,Kota Surabaya,Jawa Timur,-7.3194298,112.749494,19,3,4.42,388000
293,My Tower Hotel - Surabaya,Kota Surabaya,Jawa Timur,-7.3295806,112.7525947,32,3,4.58,199000
294,Hotel 88 Embong Malang,Kota Surabaya,Jawa Timur,-7.2583103,112.7336013,18,3,4.03,280000
295,Kampi Hotel Tunjungan  Surabaya,Kota Surabaya,Jawa Timur,-7.2643209,112.743222,18,3,4.07,507000
296,Royal Tulip Darmo Surabaya,Kota Surabaya,Jawa Timur,-7.2864484,112.7383651,33,3,4.58,732375
297,Grand Inna Tunjungan,Kota Surabaya,Jawa Timur,-7.26,112.741096,28,2,4.42,426600
298,MaxOneHotels.com @ Dharmahusada - Surabaya,Kota Surabaya,Jawa Timur,-7.2674182,112.770972,19,3,4.05,413250
299,ASTON Inn Jemursari,Kota Surabaya,Jawa Timur,-7.3115682,112.7497126,20,2,4.05,407000
300,Bumi Surabaya City Resort,Kota Surabaya,Jawa Timur,-7.2622778,112.7405529,42,3,4.07,684000
301,Surabaya Suites Hotel Powered by Archipelago,Kota Surabaya,Jawa Timur,-7.2646183,112.7474277,48,3,4.42,576000
302,Quest Hotel Darmo - Surabaya by ASTON,Kota Surabaya,Jawa Timur,-7.28,112.7387639,23,3,4.42,517500
303,Alimar Premier Hotel,Kota Surabaya,Jawa Timur,-7.2711204,112.7815502,25,2,4.02,615000
304,Java Paragon Hotel And Residence,Kota Surabaya,Jawa Timur,-7.2914406,112.7154215,21,3,4.42,508888
305,Neo+ Waru Sidoarjo by ASTON,Kabupaten Sidoarjo,Jawa Timur,-7.3591169,112.7290059,19,3,4.03,385560
306,Prime Royal Boutique Hotel Surabaya,Kota Surabaya,Jawa Timur,-7.26,112.7299158,24,2,4,269999
307,Country Heritage Hotel,Kota Surabaya,Jawa Timur,-7.3,112.7697616,24,3,4.08,228150
308,Grand Dafam Signature Surabaya,Kota Surabaya,Jawa Timur,-7.27,112.7492021,28,3,4.07,918000
309,Verwood Hotel and Serviced Residence Surabaya,Kota Surabaya,Jawa Timur,-7.2822967,112.7071859,26,3,4.03,475000
310,favehotel MEX Surabaya,Kota Surabaya,Jawa Timur,-7.27,112.7404446,18,3,4.08,328860
311,Bonnet Hotel Surabaya,Kota Surabaya,Jawa Timur,-7.2789895,112.7652282,17,1,4.42,335350
312,Zest Hotel Jemursari,Kota Surabaya,Jawa Timur,-7.3119663,112.7576924,18,3,4.03,279999
313,News Hotel by Graha Pena Jawa Pos,Kabupaten Sidoarjo,Jawa Timur,-7.37,112.7257954,16,3,4.25,282150
314,Amaris Hotel Margorejo Surabaya,Kota Surabaya,Jawa Timur,-7.3180922,112.7408403,18,3,4.05,328500
315,ibis Surabaya City Center,Kota Surabaya,Jawa Timur,-7.27,112.7411146,17,1,4.42,332100
316,Life Hotel Stasiun Kota Surabaya,Kota Surabaya,Jawa Timur,-7.24,112.7477534,29,2,4.58,119999
317,Arimbi Stay Surabaya,Kota Surabaya,Jawa Timur,-7.3413163,112.7211628,12,2,4.25,242811
318,Deka Hotel Surabaya HR Muhammad,Kota Surabaya,Jawa Timur,-7.29,112.699934,13,3,4.03,408000
319,Hotel Santika Jemursari,Kota Surabaya,Jawa Timur,-7.31,112.7566316,20,3,4.42,435000
320,Orange Hotel Surabaya,Kota Surabaya,Jawa Timur,-7.26,112.7317391,27,2,4,105000
321,Life Emerald Hotel Surabaya,Kota Surabaya,Jawa Timur,-7.2562299,112.7462637,24,2,4.03,219999
322,Whiz Prime Hotel Darmo Harapan Surabaya,Kota Surabaya,Jawa Timur,-7.2722019,112.6890551,18,3,4.25,285600
323,BATIQA Hotel Darmo - Surabaya,Kota Surabaya,Jawa Timur,-7.2943396,112.7406075,18,3,4.05,337250
324,Grand Surabaya Hotel,Kota Surabaya,Jawa Timur,-7.26,112.7462599,28,3,4.25,309699
325,Agogo Downtown Hotel Surabaya,Kota Surabaya,Jawa Timur,-7.26,112.7510649,18,2,4.08,352800
326,Quds Royal Hotel,Kota Surabaya,Jawa Timur,-7.2254423,112.7412094,25,3,4.42,350000
327,Amaris Hotel Darmo - Surabaya,Kota Surabaya,Jawa Timur,-7.2862048,112.737473,18,3,4.05,319800
328,Cleo Hotel Jemursari Surabaya,Kota Surabaya,Jawa Timur,-7.32,112.7480095,15,3,4.03,300000
329,PALM PARK Hotel Surabaya,Kota Surabaya,Jawa Timur,-7.25,112.7575192,18,3,4.03,300000
330,Narita Hotel Surabaya,Kota Surabaya,Jawa Timur,-7.3048968,112.7605604,24,3,4.42,427500
331,favehotel Graha Agung Surabaya,Kota Surabaya,Jawa Timur,-7.3,112.6751926,18,3,4.08,404460
332,KHAS Surabaya Hotel,Kota Surabaya,Jawa Timur,-7.2256393,112.7404912,19,3,4.42,386100
333,Hotel Tilamas Surabaya Juanda,Kabupaten Sidoarjo,Jawa Timur,-7.3713846,112.7600663,24,3,4.58,337500
334,High Point Serviced Apartment,Kota Surabaya,Jawa Timur,-7.3374946,112.7379075,36,3,4.58,172500
335,Maumu Hotel and Lounge,Kota Surabaya,Jawa Timur,-7.26,112.7444831,20,3,4.58,185000
336,New Cahaya Hotel Syariah,Kabupaten Sidoarjo,Jawa Timur,-7.3752347,112.7629188,12,2,4.03,280000
337,ZOOM Dharmahusada Hotel,Kota Surabaya,Jawa Timur,-7.268851,112.7734569,25,3,4.42,410000
338,Namira Syariah Hotel Surabaya,Kota Surabaya,Jawa Timur,-7.34,112.7140486,25,3,4.05,288600
339,The Square Surabaya,Kota Surabaya,Jawa Timur,-7.34,112.7376091,28,3,4.25,315000
340,Bisanta Bidakara Surabaya,Kota Surabaya,Jawa Timur,-7.27,112.7368011,22,3,4.03,360000
341,Hotel Berlian International,Kota Surabaya,Jawa Timur,-7.2289598,112.7295977,12,3,3.15,283560
342,Tab Hotel Darmo Permai Surabaya,Kota Surabaya,Jawa Timur,-7.2794624,112.6832658,20,2,4.08,218500
343,Twin Tower Hotel & Residence,Kota Surabaya,Jawa Timur,-7.25,112.7484052,47,2,4,418950
344,Citihub Hotel @ Tunjungan,Kota Surabaya,Jawa Timur,-7.2624806,112.7413744,19,3,4.03,412500
345,Nite & Day Surabaya - Gunungsari,Kota Surabaya,Jawa Timur,-7.34,112.688925,13,3,4.02,234000
346,ZOOM Hotel Jemursari,Kota Surabaya,Jawa Timur,-7.32,112.7457053,16,2,4.02,319999
347,OYO 217 A1 Hotel Near RSU National Hospital Kota Surabaya,Kota Surabaya,Jawa Timur,-7.29,112.70061,18,1,4.42,126723
348,My Studio Hotel City Center Surabaya,Kota Surabaya,Jawa Timur,-7.27,112.7507903,22,2,4.02,99999
349,Central City Family Residence,Kota Surabaya,Jawa Timur,-7.2553228,112.7244063,34,2,4.03,99999
350,deMIRA Hotel Gubeng Surabaya,Kota Surabaya,Jawa Timur,-7.27,112.7455529,27,2,4.42,65550
351,Rukotel @Tunjungan,Kota Surabaya,Jawa Timur,-7.2623679,112.7412147,19,3,4.25,228914
352,OYO Flagship 910 Menara Rungkut Surabaya,Kota Surabaya,Jawa Timur,-7.3376514,112.7708899,10,3,4.58,180000
353,Istana Permata Hotel Ngagel Surabaya,Kota Surabaya,Jawa Timur,-7.29,112.7615521,14,3,3.13,145000
354,Hotel Sinar 3 Juanda,Kabupaten Sidoarjo,Jawa Timur,-7.37,112.7598404,24,3,4.58,292500
355,Mooi House By ZIRI,Kota Surabaya,Jawa Timur,-7.2857434,112.736591,20,3,4.42,245700
356,MIRA inn Kayoon Surabaya City Center,Kota Surabaya,Jawa Timur,-7.27,112.7482145,19,1,3.13,132999
357,D'Paragon Kalijudan Surabaya,Kota Surabaya,Jawa Timur,-7.2587221,112.7762741,15,3,4.08,300000
358,Rock Hotel Family,Kota Surabaya,Jawa Timur,-7.3,112.7601364,15,3,4.08,237500
359,MIRA inn Rungkut Industri Surabaya,Kota Surabaya,Jawa Timur,-7.3307181,112.7649953,30,3,4,160000
360,OYO Flagship 2261 Pp Properti Pavilion Permata,Kota Surabaya,Jawa Timur,-7.263271,112.7063322,10,3,4.75,171534
361,Cozy Studio at Orchard Apartment by Miracle,Kota Surabaya,Jawa Timur,-7.29,112.6745957,25,3,4.08,287500
362,Livinn Juanda Airport Surabaya,Kabupaten Sidoarjo,Jawa Timur,-7.3893821,112.7586935,33,3,4.42,199999
363,Yellow Star Ambarukmo Hotel,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7828839,110.389075,18,3,4.03,898200
364,KHAS Malioboro Hotel,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7976358,110.3624738,19,3,4.05,765000
365,Grand Senyum Hotel,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.78,110.3653712,30,2,4.58,1434000
366,Jambuluwuk Malioboro Hotel,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7981358,110.3727953,42,3,4.03,1458999
367,Yellow Star Gejayan Hotel,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.76,110.3949328,18,4,4.42,685800
368,Amaris Hotel Malioboro - Jogja,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7960995,110.3648368,18,3,4.05,800000
369,Lafayette Boutique Hotel,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7600601,110.4066749,40,3,4.07,1898100
370,Grand Orchid Hotel Yogyakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.78,110.4284664,26,3,4.02,760000
371,Arte Hotel Malioboro Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7898646,110.3644232,21,3,4.03,712500
372,Platinum Adisucipto Yogyakarta Hotel & Conference,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.78,110.3807199,32,3,4.07,799200
373,ARTOTEL Suites Bianti - Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7827472,110.3819417,28,2,4.58,1592730
374,Paku Mas Hotel,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.78375,110.4037125,30,3,4.58,570000
375,Patra Malioboro Hotel,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.79,110.3654022,32,3,4.75,1199000
376,favehotel Kusumanegara,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8,110.3872364,22,3,4.02,592764
377,KIMAYA Sudirman Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.78,110.3777263,28,2,4.05,750000
378,Hotel New Saphir,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.783027,110.425215,30,3,4.05,825000
379,The Manohara Hotel Yogyakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.76,110.3942069,27,3,4.58,2090000
380,Pandanaran Prawirotaman Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8194662,110.3723764,22,3,4.25,528000
381,Grand Zuri Malioboro Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.787628,110.3669643,36,3,4.05,1900260
382,Grand Tjokro Yogyakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7613261,110.3944588,44,4,4.03,648999
383,Dafam Fortuna Malioboro Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7934674,110.363561,16,4,4.05,1000000
384,Aveon Hotel Yogyakarta by Daphna International,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7638716,110.4228715,20,1,4.25,700052
385,Grand Sarila Hotel Yogyakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.76,110.396053,18,3,4.02,589999
386,The Westlake Hotel & Resort Yogyakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.759755,110.3374802,32,3,4.75,1023500
387,Hotel Indies Heritage Prawirotaman,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8187461,110.3689814,36,3,4.05,1079999
388,Prime Plaza Hotel Jogjakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7591099,110.395429,27,3,4.07,1058000
389,Kalya Hotel Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8135675,110.4015192,20,3,4.25,600000
390,Student Park Hotel,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.77,110.4062773,30,4,4.05,410000
391,POP! Hotel Sangaji Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7781878,110.3676291,15,3,4.25,486000
392,Unisi Hotel Malioboro - Jogja (Syariah),Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.79,110.3645337,18,3,4.58,760000
393,The Victoria Hotel Yogyakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.783154,110.4049179,25,3,4.05,936000
394,The Kharma Villas,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7389887,110.3698047,50,6,4.03,3900000
395,h Boutique Hotel Jogjakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7812522,110.3764255,22,3,4.42,475200
396,Tjokro Style Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8168796,110.3805095,20,4,4.05,440000
397,@HOM Premiere Timoho,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8,110.392711,20,4,4.05,495000
398,Arrayan Malioboro Syariah,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.796334,110.3653806,24,3,4.05,850019
399,Forriz Hotel Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8,110.3535487,18,3,4.42,427500
400,KJ Hotel Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8195572,110.3729888,30,3,4.58,720000
401,Oasis Studio Hotel Satu Yogyakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7690085,110.3911348,19,1,4.42,332500
402,Atrium Premiere Hotel Yogyakarta Ambarukmo,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7829106,110.3928651,18,3,4.42,570000
403,The Atrium Hotel and Resort Yogyakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7473674,110.3601348,35,3,4.05,1800000
404,Grand Mercure Yogyakarta Adi Sucipto,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7836694,110.3924614,37,3,4.05,1345500
405,Uniq Hotel Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7759671,110.3586846,16,3,4.03,459000
406,Brothers Inn Babarsari,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7744348,110.4136639,15,1,4.05,275000
407,Taman Yuwono Heritage Malioboro,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7924144,110.3642548,22,2,4.07,580000
408,Adhisthana Hotel Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.82,110.3701888,15,0,4.07,675000
409,Tickle Hotel,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.78,110.3853825,25,3,4.08,676800
410,Citihub Hotel @ Gejayan,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7596433,110.3951584,20,3,4.08,360000
411,Laxston Hotel Yogyakarta,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7801306,110.3606468,18,3,4.03,408604
412,Grand Serela Yogyakarta by KAGUM Hotels,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7658527,110.3622876,19,3,4.42,648000
413,Por Aqui Stay & Dine,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8191226,110.3716084,20,3,4.58,850000
414,Allstay Ecotel Yogyakarta,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7732173,110.4013244,20,3,4.03,473670
415,Kampung Lawasan Heritage Cottage,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7779405,110.4052038,21,2,4.05,538550
416,MMUGM Hotel,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.78,110.3846091,24,3,4.05,450000
417,ibis Yogyakarta Adi Sucipto,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7836694,110.3924614,18,1,4.58,638999
418,Khas Tugu Hotel,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.78,110.363044,20,3,4.58,617500
419,The Amartya Jogjakarta Hotel,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7981375,110.3306323,32,3,4.58,887220
420,Horaios Malioboro Hotel,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.787668,110.3635784,23,3,4.42,588000
421,Grage Ramayana Hotel,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7916664,110.364038,27,3,4.25,852489
422,Hotel Adilla Syariah Ambarukmo,Kabupaten Bantul,Daerah Istimewa Yogyakarta,-7.7864519,110.3994156,18,2,4.42,422300
423,Cakra Kusuma Hotel,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.75,110.3925925,20,3,4.02,485267
424,Ayaartta Hotel Malioboro,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8,110.3569677,28,3,4.42,680400
425,Kangen Boutique Hotel,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.75,110.3624621,18,3,3.13,380000
426,Cavinton Hotel Yogyakarta by Tritama Hospitality,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.8,110.3559225,32,3,4.05,2409787
427,Beta House At Apartemen Malioboro City,Kabupaten Sleman,Daerah Istimewa Yogyakarta,-7.7830941,110.4245097,30,1,3.08,297500
428,The Arizon Hotel @ Malioboro,Kota Yogyakarta,Daerah Istimewa Yogyakarta,-7.7909501,110.3605072,16,3,4.03,400000
